show_id,type,title,director,cast,country,release_year,rating,duration,listed_in,description
s1,Movie,Netflix_Title_1,Unknown,,United States,2000.0,TV-MA,4 Seasons,Action,Description of Netflix show 1
s2,TV Show,Netflix_Title_2,Unknown,Actor B,India,2010.0,,2 Seasons,Horror,Description of Netflix show 2
s3,Movie,Netflix_Title_3,,Actor A,Spain,1995.0,,90 min,Romance,Description of Netflix show 3
s4,Movie,Netflix_Title_4,Alex Pina,Actor D,Germany,2005.0,R,90 min,Sci-Fi,Description of Netflix show 4
s5,Movie,Netflix_Title_5,Christopher Nolan,Actor C,India,2010.0,TV-14,100 min,Drama,Description of Netflix show 5
s6,Movie,Netflix_Title_6,Alex Pina,Actor B,India,2020.0,TV-14,90 min,,Description of Netflix show 6
s7,Movie,Netflix_Title_7,Rajkumar Hirani,,India,,G,,Sci-Fi,Description of Netflix show 7
s8,Movie,Netflix_Title_8,,,Canada,2010.0,PG,90 min,Drama,Description of Netflix show 8
s9,Movie,Netflix_Title_9,Rajkumar Hirani,Actor B,India,2020.0,TV-MA,100 min,Thriller,Description of Netflix show 9
s10,TV Show,Netflix_Title_10,,Actor A,Spain,1995.0,R,2 Seasons,Comedy,Description of Netflix show 10
s11,Movie,Netflix_Title_11,Alex Pina,Actor C,Canada,1995.0,G,120 min,Sci-Fi,
s12,TV Show,Netflix_Title_12,Christopher Nolan,Actor D,Germany,2010.0,TV-MA,2 Seasons,Horror,Description of Netflix show 12
s13,Movie,Netflix_Title_13,Christopher Nolan,Actor B,Spain,2020.0,PG-13,4 Seasons,Comedy,Description of Netflix show 13
s14,TV Show,Netflix_Title_14,Rajkumar Hirani,Actor C,United States,2000.0,PG-13,2 Seasons,Drama,Description of Netflix show 14
s15,Movie,Netflix_Title_15,Christopher Nolan,Actor A,Spain,2023.0,TV-14,120 min,Thriller,Description of Netflix show 15
s16,TV Show,Netflix_Title_16,Unknown,Actor A,Spain,2000.0,,4 Seasons,Thriller,Description of Netflix show 16
s17,Movie,Netflix_Title_17,Alex Pina,Actor D,,1995.0,R,3 Seasons,,
s18,TV Show,Netflix_Title_18,,Actor A,India,2010.0,,,Action,Description of Netflix show 18
s19,Movie,Netflix_Title_19,,Actor B,United States,1990.0,TV-14,,,Description of Netflix show 19
s20,Movie,Netflix_Title_20,Christopher Nolan,Actor D,India,2020.0,PG-13,,Sci-Fi,Description of Netflix show 20
s21,TV Show,Netflix_Title_21,Rajkumar Hirani,Actor A,India,2020.0,PG,120 min,Drama,Description of Netflix show 21
s22,,Netflix_Title_22,Alex Pina,Actor A,United States,inf,R,3 Seasons,,
s23,Movie,Netflix_Title_23,Alex Pina,Actor B,India,2015.0,PG,2 Seasons,Sci-Fi,Description of Netflix show 23
s24,TV Show,Netflix_Title_24,Unknown,Actor B,India,2010.0,TV-14,3 Seasons,Sci-Fi,Description of Netflix show 24
s25,TV Show,Netflix_Title_25,Alex Pina,Actor B,,1990.0,TV-MA,100 min,Sci-Fi,Description of Netflix show 25
s26,TV Show,Netflix_Title_26,Alex Pina,Actor D,Canada,2010.0,TV-MA,,Sci-Fi,
s27,Movie,Netflix_Title_27,Rajkumar Hirani,Actor A,United States,1995.0,R,4 Seasons,Thriller,Description of Netflix show 27
s28,Movie,,,Actor B,Canada,2023.0,PG,2 Seasons,Thriller,Description of Netflix show 28
s29,Movie,Netflix_Title_29,Christopher Nolan,Actor C,United States,2015.0,TV-MA,90 min,Comedy,Description of Netflix show 29
s30,TV Show,Netflix_Title_30,Unknown,Actor A,UK,2000.0,PG,120 min,Sci-Fi,Description of Netflix show 30
s31,Movie,Netflix_Title_31,Christopher Nolan,Actor D,Germany,2020.0,TV-MA,90 min,Comedy,
s32,Movie,Netflix_Title_32,Unknown,Actor C,United States,2005.0,G,80 min,Sci-Fi,Description of Netflix show 32
s33,,Netflix_Title_33,Rajkumar Hirani,Actor A,,2015.0,PG,2 Seasons,Drama,Description of Netflix show 33
s34,TV Show,Netflix_Title_34,,Actor A,,2020.0,R,120 min,,Description of Netflix show 34
s35,TV Show,Netflix_Title_35,Christopher Nolan,Actor D,Canada,1995.0,TV-14,90 min,Horror,Description of Netflix show 35
s36,Movie,Netflix_Title_36,Christopher Nolan,Actor B,India,2010.0,TV-MA,120 min,Comedy,Description of Netflix show 36
s37,TV Show,Netflix_Title_37,,Actor C,India,1995.0,PG-13,90 min,Comedy,
s38,TV Show,,Alex Pina,,,2015.0,TV-MA,120 min,Sci-Fi,Description of Netflix show 38
s39,Movie,Netflix_Title_39,Rajkumar Hirani,Actor A,Canada,2005.0,TV-14,,Drama,Description of Netflix show 39
s40,TV Show,Netflix_Title_40,Christopher Nolan,,United States,2015.0,G,4 Seasons,,Description of Netflix show 40
s41,,Netflix_Title_41,Rajkumar Hirani,Actor A,India,1990.0,TV-MA,80 min,Action,Description of Netflix show 41
s42,TV Show,Netflix_Title_42,Christopher Nolan,Actor A,Canada,2023.0,R,80 min,Comedy,Description of Netflix show 42
s43,Movie,Netflix_Title_43,Rajkumar Hirani,Actor B,Spain,2010.0,PG-13,80 min,,Description of Netflix show 43
s44,TV Show,Netflix_Title_44,,Actor D,India,2020.0,TV-14,100 min,Comedy,Description of Netflix show 44
s45,Movie,Netflix_Title_45,,Actor C,Canada,2000.0,PG-13,,Action,Description of Netflix show 45
s46,Movie,Netflix_Title_46,Unknown,Actor C,India,2005.0,PG,120 min,Comedy,Description of Netflix show 46
s47,TV Show,Netflix_Title_47,Alex Pina,Actor A,United States,2020.0,G,100 min,Drama,Description of Netflix show 47
s48,Movie,Netflix_Title_48,Unknown,Actor A,India,2023.0,PG-13,100 min,,Description of Netflix show 48
s49,Movie,Netflix_Title_49,Alex Pina,Actor C,,2010.0,R,4 Seasons,Comedy,Description of Netflix show 49
s50,Movie,Netflix_Title_50,Rajkumar Hirani,Actor D,UK,,G,2 Seasons,Romance,Description of Netflix show 50
s51,Movie,Netflix_Title_51,Rajkumar Hirani,Actor C,India,2015.0,PG,80 min,Comedy,
s52,TV Show,Netflix_Title_52,,Actor D,UK,1990.0,,120 min,Thriller,Description of Netflix show 52
s53,Movie,Netflix_Title_53,Rajkumar Hirani,Actor D,UK,2010.0,TV-14,90 min,Comedy,Description of Netflix show 53
s54,Movie,Netflix_Title_54,Alex Pina,Actor B,Germany,2000.0,TV-MA,2 Seasons,Romance,Description of Netflix show 54
s55,TV Show,Netflix_Title_55,Rajkumar Hirani,Actor B,United States,2020.0,TV-MA,90 min,Drama,Description of Netflix show 55
s56,Movie,Netflix_Title_56,,Actor B,India,2005.0,,80 min,Thriller,Description of Netflix show 56
s57,TV Show,Netflix_Title_57,Rajkumar Hirani,Actor D,,2000.0,TV-14,2 Seasons,Drama,
s58,Movie,Netflix_Title_58,Rajkumar Hirani,,UK,2023.0,TV-MA,100 min,Thriller,Description of Netflix show 58
s59,TV Show,,Unknown,Actor D,United States,2023.0,TV-MA,,Action,Description of Netflix show 59
s60,TV Show,Netflix_Title_60,Christopher Nolan,Actor B,India,2005.0,TV-MA,120 min,Romance,Description of Netflix show 60
s61,Movie,Netflix_Title_61,Christopher Nolan,Actor B,Germany,2010.0,TV-MA,3 Seasons,Action,Description of Netflix show 61
s62,Movie,Netflix_Title_62,Unknown,Actor C,Canada,1990.0,R,4 Seasons,Sci-Fi,Description of Netflix show 62
s63,TV Show,Netflix_Title_63,Unknown,Actor C,India,2000.0,TV-14,3 Seasons,Comedy,Description of Netflix show 63
,Movie,Netflix_Title_64,Alex Pina,Actor B,United States,2020.0,PG,90 min,Comedy,Description of Netflix show 64
s65,Movie,Netflix_Title_65,Rajkumar Hirani,Actor A,Spain,2015.0,,2 Seasons,Sci-Fi,Description of Netflix show 65
s66,TV Show,Netflix_Title_66,Unknown,Actor D,,2023.0,TV-14,80 min,Drama,Description of Netflix show 66
s67,TV Show,Netflix_Title_67,Unknown,Actor A,India,2010.0,TV-14,3 Seasons,Horror,Description of Netflix show 67
s68,TV Show,Netflix_Title_68,Rajkumar Hirani,Actor D,United States,2020.0,PG-13,90 min,Action,
s69,,,Christopher Nolan,Actor D,United States,2010.0,G,,Comedy,Description of Netflix show 69
s70,TV Show,Netflix_Title_70,,Actor D,India,2015.0,PG,,Drama,Description of Netflix show 70
s71,TV Show,Netflix_Title_71,Alex Pina,Actor C,United States,2000.0,PG,2 Seasons,Drama,Description of Netflix show 71
s72,Movie,Netflix_Title_72,Unknown,Actor D,Germany,2010.0,PG,90 min,Sci-Fi,Description of Netflix show 72
s73,Movie,Netflix_Title_73,Rajkumar Hirani,Actor B,UK,2000.0,PG-13,2 Seasons,,Description of Netflix show 73
s74,TV Show,Netflix_Title_74,Alex Pina,Actor D,Spain,2015.0,TV-14,100 min,Horror,Description of Netflix show 74
s75,Movie,Netflix_Title_75,Alex Pina,Actor D,UK,1995.0,TV-14,120 min,Horror,Description of Netflix show 75
s76,Movie,Netflix_Title_76,Rajkumar Hirani,Actor A,Spain,2000.0,PG-13,100 min,Sci-Fi,Description of Netflix show 76
s77,TV Show,Netflix_Title_77,Christopher Nolan,Actor B,UK,2020.0,TV-14,4 Seasons,Drama,
s78,Movie,Netflix_Title_78,Rajkumar Hirani,Actor B,India,1990.0,PG-13,120 min,Romance,Description of Netflix show 78
s79,TV Show,Netflix_Title_79,Christopher Nolan,Actor B,UK,2005.0,R,3 Seasons,,Description of Netflix show 79
s80,TV Show,Netflix_Title_80,Rajkumar Hirani,Actor C,Spain,2023.0,PG-13,3 Seasons,Drama,Description of Netflix show 80
s81,TV Show,Netflix_Title_81,Unknown,Actor A,UK,1995.0,TV-MA,120 min,Comedy,Description of Netflix show 81
s82,TV Show,Netflix_Title_82,Unknown,Actor C,Spain,2005.0,PG,100 min,Sci-Fi,Description of Netflix show 82
s83,TV Show,Netflix_Title_83,Unknown,Actor A,Spain,1995.0,R,2 Seasons,Action,Description of Netflix show 83
s84,Movie,Netflix_Title_84,Christopher Nolan,Actor B,United States,2023.0,TV-14,2 Seasons,,Description of Netflix show 84
s85,Movie,Netflix_Title_85,Unknown,Actor C,Spain,1995.0,TV-14,90 min,,Description of Netflix show 85
s86,TV Show,Netflix_Title_86,Alex Pina,Actor B,United States,2000.0,R,3 Seasons,Comedy,Description of Netflix show 86
s87,Movie,Netflix_Title_87,Rajkumar Hirani,Actor B,United States,2010.0,TV-MA,90 min,Action,Description of Netflix show 87
s88,,Netflix_Title_88,Christopher Nolan,Actor A,Spain,2015.0,PG-13,100 min,Sci-Fi,Description of Netflix show 88
s89,TV Show,Netflix_Title_89,Christopher Nolan,Actor A,Germany,2005.0,TV-MA,4 Seasons,Action,Description of Netflix show 89
s90,TV Show,,Unknown,Actor C,India,2000.0,,2 Seasons,Sci-Fi,Description of Netflix show 90
s91,Movie,Netflix_Title_91,,Actor C,United States,2005.0,,90 min,Horror,Description of Netflix show 91
s92,,Netflix_Title_92,,Actor A,UK,2015.0,G,,Drama,
s93,Movie,Netflix_Title_93,Rajkumar Hirani,Actor B,,inf,PG-13,2 Seasons,,Description of Netflix show 93
s94,TV Show,Netflix_Title_94,Unknown,Actor B,UK,2005.0,PG,120 min,Action,Description of Netflix show 94
s95,Movie,Netflix_Title_95,Alex Pina,Actor D,United States,2005.0,,,Romance,Description of Netflix show 95
s96,Movie,Netflix_Title_96,Unknown,Actor A,Canada,2020.0,TV-14,4 Seasons,Comedy,Description of Netflix show 96
s97,TV Show,Netflix_Title_97,Alex Pina,Actor C,United States,2005.0,TV-14,2 Seasons,Romance,Description of Netflix show 97
s98,TV Show,Netflix_Title_98,Alex Pina,Actor C,Spain,2005.0,PG-13,80 min,Romance,Description of Netflix show 98
s99,Movie,,Unknown,Actor B,,inf,,100 min,Sci-Fi,Description of Netflix show 99
s100,TV Show,Netflix_Title_100,Christopher Nolan,Actor B,India,2015.0,,120 min,Drama,Description of Netflix show 100
s101,Movie,Netflix_Title_101,Alex Pina,,United States,2023.0,G,2 Seasons,Drama,Description of Netflix show 101
